0 11 -nan(ind) -nan(ind) 21 -nan(ind) -nan(ind) 12 -nan(ind) -nan(ind) 22 -nan(ind) -nan(ind) 13 -nan(ind) -nan(ind) 23 -nan(ind) -nan(ind) 
4100 11 1.242109 0.219303 21 1.084657 0.177540 12 4.841951 1.041220 22 4.797439 1.022561 13 2.925000 0.704268 23 2.959146 0.691707 
4200 11 1.280583 0.218981 21 1.085622 0.175559 12 4.782143 1.017500 22 4.826071 1.010238 13 2.954405 0.699881 23 2.858810 0.648452 
4300 11 1.250725 0.211006 21 1.107113 0.177612 12 4.825698 1.028256 22 4.762093 0.997442 13 2.901163 0.665000 23 2.925930 0.658023 
4400 11 1.252122 0.217399 21 1.089877 0.184768 12 4.843182 1.038864 22 4.788864 1.020795 13 2.895227 0.704659 23 2.956705 0.677500 
4500 11 1.256505 0.212881 21 1.102735 0.186234 12 4.810222 1.028000 22 4.839778 1.006667 13 2.888111 0.689444 23 2.877111 0.666222 
4600 11 1.274632 0.215090 21 1.090732 0.181280 12 4.797826 1.000435 22 4.838261 1.035217 13 2.933804 0.690543 23 2.868804 0.650761 
4700 11 1.259093 0.222918 21 1.101575 0.186341 12 4.828617 1.041383 22 4.906596 1.009894 13 2.847128 0.709681 23 2.889894 0.661702 
4800 11 1.260609 0.215433 21 1.098691 0.182641 12 4.754375 1.012292 22 4.913750 1.018958 13 2.922292 0.686875 23 2.997813 0.673125 
4900 11 1.261656 0.218147 21 1.103060 0.178371 12 4.792959 1.023265 22 4.900612 1.055714 13 2.952653 0.682755 23 2.897449 0.656122 
5000 11 1.263819 0.216103 21 1.106254 0.182958 12 4.795600 1.015400 22 4.858900 1.025100 13 2.900900 0.689800 23 2.905100 0.667600 
5100 11 1.246798 0.211245 21 1.069927 0.175324 12 4.843725 1.023431 22 4.742353 1.023333 13 2.895784 0.698333 23 2.932255 0.647353 
5200 11 1.251277 0.214008 21 1.092795 0.183946 12 4.810865 1.033846 22 4.826731 1.024135 13 2.889135 0.688750 23 2.940288 0.655096 
5300 11 1.250937 0.218571 21 1.112276 0.182308 12 4.722736 1.015000 22 4.785000 1.024811 13 2.904151 0.696698 23 2.962075 0.659434 
5400 11 1.255757 0.223720 21 1.107866 0.182891 12 4.858056 1.043981 22 4.795093 1.033519 13 2.922222 0.697870 23 2.908056 0.669259 
5500 11 1.251622 0.212210 21 1.100019 0.178768 12 4.824364 1.016727 22 4.866545 1.036636 13 2.907182 0.683909 23 2.901364 0.668182 
5600 11 1.255816 0.211350 21 1.101417 0.180835 12 4.813125 1.040536 22 4.837500 1.014018 13 2.919196 0.703214 23 2.882500 0.645625 
5700 11 1.253637 0.217211 21 1.096940 0.180557 12 4.753596 1.002982 22 4.724912 1.001930 13 2.938684 0.690965 23 2.903509 0.650965 
5800 11 1.262618 0.212817 21 1.113389 0.180882 12 4.795690 1.014828 22 4.859741 1.030862 13 2.905000 0.705086 23 2.892845 0.652931 
5900 11 1.256638 0.217569 21 1.102027 0.181800 12 4.831864 1.002881 22 4.948390 1.036102 13 2.949831 0.688051 23 2.876525 0.663729 
6000 11 1.266072 0.221306 21 1.099919 0.184586 12 4.901000 1.032000 22 4.767417 1.010583 13 2.940583 0.702333 23 2.933083 0.660333 
